"dataset","sample","reads","richness","habitat"
"Genus","IT12",25001,222.894016525956,"Intertidal"
"Genus","IT12",26001,224.036873071118,"Intertidal"
"Genus","IT12",26943,225,"Intertidal"
"Genus","IT13",1,0.999999999999833,"Intertidal"
"Genus","IT13",1001,106.293684191192,"Intertidal"
"Genus","IT13",2001,146.005068991469,"Intertidal"
"Genus","IT13",3001,173.031063419641,"Intertidal"
"Genus","IT13",4001,193.27098425524,"Intertidal"
"Genus","IT13",5001,209.218853088985,"Intertidal"
"Genus","IT13",6001,222.21902418549,"Intertidal"
"Genus","IT13",7001,233.083388294483,"Intertidal"
"Genus","IT13",8001,242.338322184142,"Intertidal"
"Genus","IT13",9001,250.343191437345,"Intertidal"
"Genus","IT13",10001,257.353411161246,"Intertidal"
"Genus","IT13",11001,263.556453941147,"Intertidal"
"Genus","IT13",12001,269.093557340792,"Intertidal"
"Genus","IT13",13001,274.073413675632,"Intertidal"
"Genus","IT13",14001,278.581146446967,"Intertidal"
"Genus","IT13",15001,282.684400574413,"Intertidal"
"Genus","IT13",16001,286.437599377244,"Intertidal"
"Genus","IT13",17001,289.88499760974,"Intertidal"
"Genus","IT13",18001,293.062919548005,"Intertidal"
"Genus","IT13",19001,296.0014302735,"Intertidal"
"Genus","IT13",20001,298.725603231232,"Intertidal"
"Genus","IT13",21001,301.256494177063,"Intertidal"
"Genus","IT13",22001,303.611897750169,"Intertidal"
"Genus","IT13",23001,305.806940598287,"Intertidal"
"Genus","IT13",24001,307.854549966959,"Intertidal"
"Genus","IT13",25001,309.765826289729,"Intertidal"
"Genus","IT13",26001,311.550341030557,"Intertidal"
"Genus","IT13",27001,313.216375801794,"Intertidal"
"Genus","IT13",28001,314.771114987505,"Intertidal"
"Genus","IT13",29001,316.220801291582,"Intertidal"
"Genus","IT13",30001,317.570861535808,"Intertidal"
"Genus","IT13",31001,318.826008439456,"Intertidal"
"Genus","IT13",32001,319.990322890425,"Intertidal"
"Genus","IT13",33001,321.067320268003,"Intertidal"
"Genus","IT13",34001,322.060003625435,"Intertidal"
"Genus","IT13",35001,322.970905941165,"Intertidal"
"Genus","IT13",36001,323.802123159662,"Intertidal"
"Genus","IT13",36254,324,"Intertidal"
"Genus","IT14",1,1.0000000000001,"Intertidal"
"Genus","IT14",1001,90.5509159806944,"Intertidal"
"Genus","IT14",2001,122.234975848836,"Intertidal"
"Genus","IT14",3001,143.174465463964,"Intertidal"
"Genus","IT14",4001,158.809001452094,"Intertidal"
"Genus","IT14",5001,171.184519018298,"Intertidal"
"Genus","IT14",6001,181.326658464251,"Intertidal"
"Genus","IT14",7001,189.838975132991,"Intertidal"
"Genus","IT14",8001,197.113090554233,"Intertidal"
"Genus","IT14",9001,203.419371543398,"Intertidal"
"Genus","IT14",10001,208.95230763804,"Intertidal"
"Genus","IT14",11001,213.855921100517,"Intertidal"
"Genus","IT14",12001,218.239240914029,"Intertidal"
"Genus","IT14",13001,222.18631134524,"Intertidal"
"Genus","IT14",14001,225.762943100321,"Intertidal"
"Genus","IT14",15001,229.021401258503,"Intertidal"
"Genus","IT14",16001,232.003727813905,"Intertidal"
"Genus","IT14",17001,234.744132750553,"Intertidal"
"Genus","IT14",18001,237.270736396403,"Intertidal"
"Genus","IT14",19001,239.606853508582,"Intertidal"
"Genus","IT14",20001,241.771950269846,"Intertidal"
"Genus","IT14",21001,243.78236583781,"Intertidal"
"Genus","IT14",22001,245.651863011549,"Intertidal"
"Genus","IT14",23001,247.392053705147,"Intertidal"
"Genus","IT14",24001,249.012731605317,"Intertidal"
"Genus","IT14",25001,250.522134931206,"Intertidal"
"Genus","IT14",26001,251.927155446516,"Intertidal"
"Genus","IT14",27001,253.233505000537,"Intertidal"
"Genus","IT14",28001,254.445847329552,"Intertidal"
"Genus","IT14",28485,255,"Intertidal"
"Genus","IT15",1,0.999999999999929,"Intertidal"
"Genus","IT15",1001,88.7037798595038,"Intertidal"
"Genus","IT15",2001,121.50684267435,"Intertidal"
"Genus","IT15",3001,144.455018328225,"Intertidal"
"Genus","IT15",4001,162.337943445582,"Intertidal"
"Genus","IT15",5001,177.049852394355,"Intertidal"
"Genus","IT15",6001,189.564800159232,"Intertidal"
"Genus","IT15",7001,200.45634632432,"Intertidal"
"Genus","IT15",8001,210.092838163783,"Intertidal"
"Genus","IT15",9001,218.725872426892,"Intertidal"
"Genus","IT15",10001,226.535484136377,"Intertidal"
"Genus","IT15",11001,233.655295719678,"Intertidal"
"Genus","IT15",12001,240.187458062723,"Intertidal"
"Genus","IT15",13001,246.211998360074,"Intertidal"
"Genus","IT15",14001,251.792919110187,"Intertidal"
"Genus","IT15",15001,256.982317462093,"Intertidal"
"Genus","IT15",16001,261.823249504391,"Intertidal"
"Genus","IT15",17001,266.351772044395,"Intertidal"
"Genus","IT15",18001,270.598430064972,"Intertidal"
"Genus","IT15",19001,274.589361473916,"Intertidal"
"Genus","IT15",20001,278.347132049062,"Intertidal"
"Genus","IT15",21001,281.891376523154,"Intertidal"
"Genus","IT15",22001,285.239297996286,"Intertidal"
"Genus","IT15",23001,288.406062183341,"Intertidal"
"Genus","IT15",24001,291.405112433397,"Intertidal"
"Genus","IT15",25001,294.248424256035,"Intertidal"
"Genus","IT15",26001,296.94671308125,"Intertidal"
"Genus","IT15",27001,299.509605428853,"Intertidal"
"Genus","IT15",28001,301.945781146891,"Intertidal"
"Genus","IT15",29001,304.263092540496,"Intertidal"
"Genus","IT15",30001,306.468664873181,"Intertidal"
"Genus","IT15",31001,308.568981728815,"Intertidal"
"Genus","IT15",32001,310.569957963437,"Intertidal"
"Genus","IT15",33001,312.477002424477,"Intertidal"
"Genus","IT15",34001,314.295072164614,"Intertidal"
"Genus","IT15",35001,316.028719547851,"Intertidal"
"Genus","IT15",36001,317.682133378576,"Intertidal"
"Genus","IT15",37001,319.259174975506,"Intertidal"
"Genus","IT15",38001,320.76340994888,"Intertidal"
"Genus","IT15",39001,322.198136301802,"Intertidal"
"Genus","IT15",40001,323.566409371626,"Intertidal"
"Genus","IT15",41001,324.871064040154,"Intertidal"
"Genus","IT15",42001,326.114734566271,"Intertidal"
"Genus","IT15",43001,327.2998723404,"Intertidal"
"Genus","IT15",44001,328.428761806991,"Intertidal"
"Genus","IT15",45001,329.503534764017,"Intertidal"
"Genus","IT15",46001,330.526183215691,"Intertidal"
"Genus","IT15",47001,331.498570924371,"Intertidal"
"Genus","IT15",48001,332.422443789122,"Intertidal"
"Genus","IT15",49001,333.299439156929,"Intertidal"
"Genus","IT15",50001,334.131094159765,"Intertidal"
"Genus","IT15",51001,334.918853158067,"Intertidal"
"Genus","IT15",52001,335.664074361819,"Intertidal"
"Genus","IT15",52471,336,"Intertidal"
"Genus","IT16",1,0.999999999999878,"Intertidal"
"Genus","IT16",1001,87.1323459617181,"Intertidal"
"Genus","IT16",2001,119.944519575778,"Intertidal"
"Genus","IT16",3001,142.546202621498,"Intertidal"
"Genus","IT16",4001,159.845200166862,"Intertidal"
"Genus","IT16",5001,173.830224156788,"Intertidal"
"Genus","IT16",6001,185.547962843362,"Intertidal"
"Genus","IT16",7001,195.618494459824,"Intertidal"
"Genus","IT16",8001,204.436270874141,"Intertidal"
"Genus","IT16",9001,212.265907605079,"Intertidal"
"Genus","IT16",10001,219.292955300216,"Intertidal"
"Genus","IT16",11001,225.652604638478,"Intertidal"
"Genus","IT16",12001,231.44668086178,"Intertidal"
"Genus","IT16",13001,236.754092814569,"Intertidal"
"Genus","IT16",14001,241.637480235732,"Intertidal"
"Genus","IT16",15001,246.14758131531,"Intertidal"
"Genus","IT16",16001,250.32619271557,"Intertidal"
"Genus","IT16",17001,254.208235565763,"Intertidal"
"Genus","IT16",18001,257.823237304456,"Intertidal"
"Genus","IT16",19001,261.196420973326,"Intertidal"
"Genus","IT16",20001,264.349523413452,"Intertidal"
"Genus","IT16",21001,267.301421395958,"Intertidal"
"Genus","IT16",22001,270.068618468544,"Intertidal"
"Genus","IT16",23001,272.665628708493,"Intertidal"
"Genus","IT16",24001,275.105282815609,"Intertidal"
"Genus","IT16",25001,277.398974806237,"Intertidal"
"Genus","IT16",26001,279.556862691636,"Intertidal"
"Genus","IT16",27001,281.588033087415,"Intertidal"
"Genus","IT16",28001,283.500637268488,"Intertidal"
"Genus","IT16",29001,285.302004393372,"Intertidal"
"Genus","IT16",30001,286.998736317944,"Intertidal"
"Genus","IT16",31001,288.59678743688,"Intertidal"
"Genus","IT16",32001,290.101532261407,"Intertidal"
"Genus","IT16",33001,291.517822889487,"Intertidal"
"Genus","IT16",34001,292.850038104083,"Intertidal"
"Genus","IT16",35001,294.102125515939,"Intertidal"
"Genus","IT16",36001,295.27763791657,"Intertidal"
"Genus","IT16",36649,296,"Intertidal"
"Genus","IT17",1,1.0000000000001,"Intertidal"
"Genus","IT17",1001,76.0170047960869,"Intertidal"
"Genus","IT17",2001,102.219906716059,"Intertidal"
"Genus","IT17",3001,120.256783235242,"Intertidal"
"Genus","IT17",4001,134.229796251845,"Intertidal"
"Genus","IT17",5001,145.665661110049,"Intertidal"
"Genus","IT17",6001,155.328945445335,"Intertidal"
"Genus","IT17",7001,163.6704418802,"Intertidal"
"Genus","IT17",8001,170.984058726841,"Intertidal"
"Genus","IT17",9001,177.474112665161,"Intertidal"
"Genus","IT17",10001,183.288896961808,"Intertidal"
"Genus","IT17",11001,188.539478368506,"Intertidal"
"Genus","IT17",12001,193.311142431553,"Intertidal"
"Genus","IT17",13001,197.670776886488,"Intertidal"
"Genus","IT17",14001,201.671825997601,"Intertidal"
"Genus","IT17",15001,205.357708712084,"Intertidal"
"Genus","IT17",16001,208.764227398713,"Intertidal"
"Genus","IT17",17001,211.921295582426,"Intertidal"
"Genus","IT17",18001,214.854197384642,"Intertidal"
"Genus","IT17",19001,217.584520049809,"Intertidal"
"Genus","IT17",20001,220.130855229065,"Intertidal"
"Genus","IT17",21001,222.509334606059,"Intertidal"
"Genus","IT17",22001,224.734045296475,"Intertidal"
"Genus","IT17",23001,226.817356779141,"Intertidal"
"Genus","IT17",24001,228.770181764085,"Intertidal"
"Genus","IT17",25001,230.602186962566,"Intertidal"
"Genus","IT17",26001,232.321965262794,"Intertidal"
"Genus","IT17",27001,233.937177708539,"Intertidal"
"Genus","IT17",28001,235.45467149591,"Intertidal"
"Genus","IT17",29001,236.88057866768,"Intertidal"
"Genus","IT17",30001,238.220399079966,"Intertidal"
"Genus","IT17",31001,239.479070420898,"Intertidal"
"Genus","IT17",32001,240.661027480658,"Intertidal"
"Genus","IT17",33001,241.770252432286,"Intertidal"
"Genus","IT17",34001,242.810317554866,"Intertidal"
"Genus","IT17",35001,243.784421574981,"Intertidal"
"Genus","IT17",36001,244.695420599659,"Intertidal"
"Genus","IT17",37001,245.545854454221,"Intertidal"
"Genus","IT17",38001,246.337969106135,"Intertidal"
"Genus","IT17",39001,247.073735746788,"Intertidal"
"Genus","IT17",40001,247.754867011959,"Intertidal"
"Genus","IT17",41001,248.382830742897,"Intertidal"
"Genus","IT17",42001,248.958861622841,"Intertidal"
"Genus","IT17",42076,249,"Intertidal"
"Genus","IT18",1,1.00000000000017,"Intertidal"
"Genus","IT18",1001,103.196286213152,"Intertidal"
"Genus","IT18",2001,142.943623706134,"Intertidal"
"Genus","IT18",3001,169.618393015001,"Intertidal"
"Genus","IT18",4001,189.653248129254,"Intertidal"
"Genus","IT18",5001,205.561389343679,"Intertidal"
"Genus","IT18",6001,218.629753720717,"Intertidal"
"Genus","IT18",7001,229.623623607419,"Intertidal"
"Genus","IT18",8001,239.040057441864,"Intertidal"
"Genus","IT18",9001,247.221020677312,"Intertidal"
"Genus","IT18",10001,254.411661708664,"Intertidal"
"Genus","IT18",11001,260.793331624216,"Intertidal"
"Genus","IT18",12001,266.503589350255,"Intertidal"
"Genus","IT18",13001,271.64894752191,"Intertidal"
"Genus","IT18",14001,276.313323463003,"Intertidal"
"Genus","IT18",15001,280.563828091972,"Intertidal"
"Genus","IT18",16001,284.454840330737,"Intertidal"
"Genus","IT18",17001,288.03094101221,"Intertidal"
"Genus","IT18",18001,291.329066932566,"Intertidal"
"Genus","IT18",19001,294.380118895361,"Intertidal"
"Genus","IT18",20001,297.210179627727,"Intertidal"
"Genus","IT18",21001,299.841447942521,"Intertidal"
"Genus","IT18",22001,302.29296328199,"Intertidal"
"Genus","IT18",23001,304.581173235393,"Intertidal"
"Genus","IT18",24001,306.720381951624,"Intertidal"
"Genus","IT18",25001,308.723107192609,"Intertidal"
"Genus","IT18",26001,310.600366603537,"Intertidal"
"Genus","IT18",27001,312.361908650494,"Intertidal"
"Genus","IT18",28001,314.01639996927,"Intertidal"
"Genus","IT18",29001,315.571578139563,"Intertidal"
"Genus","IT18",30001,317.034376877331,"Intertidal"
"Genus","IT18",31001,318.411029107526,"Intertidal"
"Genus","IT18",32001,319.707152215782,"Intertidal"
"Genus","IT18",33001,320.927818873422,"Intertidal"
"Genus","IT18",34001,322.077616123957,"Intertidal"
"Genus","IT18",35001,323.160694861771,"Intertidal"
"Genus","IT18",36001,324.180811384101,"Intertidal"
"Genus","IT18",37001,325.141362339252,"Intertidal"
"Genus","IT18",38001,326.045414099778,"Intertidal"
"Genus","IT18",39001,326.895727350755,"Intertidal"
"Genus","IT18",39128,327,"Intertidal"
"Genus","IT1A",1,1,"Intertidal"
"Genus","IT1A",1001,74.6549966848773,"Intertidal"
"Genus","IT1A",2001,96.9583583118034,"Intertidal"
"Genus","IT1A",3001,111.364444884456,"Intertidal"
"Genus","IT1A",4001,121.90237900359,"Intertidal"
"Genus","IT1A",5001,130.072200917333,"Intertidal"
"Genus","IT1A",6001,136.630478324933,"Intertidal"
"Genus","IT1A",7001,142.021901965643,"Intertidal"
"Genus","IT1A",8001,146.531452013429,"Intertidal"
"Genus","IT1A",9001,150.35233987352,"Intertidal"
"Genus","IT1A",10001,153.62126095366,"Intertidal"
"Genus","IT1A",11001,156.438401941277,"Intertidal"
"Genus","IT1A",12001,158.87940415452,"Intertidal"
"Genus","IT1A",13001,161.002764229236,"Intertidal"
"Genus","IT1A",14001,162.854544307978,"Intertidal"
"Genus","IT1A",15001,164.471457929833,"Intertidal"
"Genus","IT1A",16001,165.882953261907,"Intertidal"
"Genus","IT1A",17001,167.112658406089,"Intertidal"
"Genus","IT1A",18001,168.1794030005,"Intertidal"
"Genus","IT1A",19001,169.09794226926,"Intertidal"
"Genus","IT1A",20001,169.879458192413,"Intertidal"
"Genus","IT1A",20172,170,"Intertidal"
"Genus","IT1H",1,0.999999999999995,"Intertidal"
"Genus","IT1H",1001,86.7555465583793,"Intertidal"
"Genus","IT1H",2001,115.388865115744,"Intertidal"
"Genus","IT1H",3001,134.076272169334,"Intertidal"
"Genus","IT1H",4001,147.706609294912,"Intertidal"
"Genus","IT1H",5001,158.233291313716,"Intertidal"
"Genus","IT1H",6001,166.678882297695,"Intertidal"
"Genus","IT1H",7001,173.648421457757,"Intertidal"
"Genus","IT1H",8001,179.526392775752,"Intertidal"
"Genus","IT1H",9001,184.569381726804,"Intertidal"
"Genus","IT1H",10001,188.95513362136,"Intertidal"
"Genus","IT1H",11001,192.810618575486,"Intertidal"
"Genus","IT1H",12001,196.22898210773,"Intertidal"
"Genus","IT1H",13001,199.280196188446,"Intertidal"
"Genus","IT1H",14001,202.017955672056,"Intertidal"
"Genus","IT1H",15001,204.4842516492,"Intertidal"
"Genus","IT1H",16001,206.712466430575,"Intertidal"
"Genus","IT1H",17001,208.729507258175,"Intertidal"
"Genus","IT1H",18001,210.55730433365,"Intertidal"
"Genus","IT1H",19001,212.213882574546,"Intertidal"
"Genus","IT1H",20001,213.714143883238,"Intertidal"
"Genus","IT1H",21001,215.070450191736,"Intertidal"
"Genus","IT1H",22001,216.293067194053,"Intertidal"
"Genus","IT1H",23001,217.390508602887,"Intertidal"
"Genus","IT1H",24001,218.36980738362,"Intertidal"
"Genus","IT1H",25001,219.23673146001,"Intertidal"
"Genus","IT1H",26001,219.995955386964,"Intertidal"
"Genus","IT1H",27001,220.651195478728,"Intertidal"
"Genus","IT1H",27609,221,"Intertidal"
"Genus","IT2",1,0.999999999999829,"Intertidal"
"Genus","IT2",1001,90.8716443292533,"Intertidal"
"Genus","IT2",2001,121.812217681155,"Intertidal"
"Genus","IT2",3001,142.195577159286,"Intertidal"
"Genus","IT2",4001,157.488610356048,"Intertidal"
"Genus","IT2",5001,169.734691613177,"Intertidal"
"Genus","IT2",6001,179.936119049199,"Intertidal"
"Genus","IT2",7001,188.661998815257,"Intertidal"
"Genus","IT2",8001,196.267617478949,"Intertidal"
"Genus","IT2",9001,202.99035137796,"Intertidal"
"Genus","IT2",10001,208.997014499706,"Intertidal"
"Genus","IT2",11001,214.409417553148,"Intertidal"
"Genus","IT2",12001,219.319201062493,"Intertidal"
"Genus","IT2",13001,223.796980966004,"Intertidal"
"Genus","IT2",14001,227.898276664389,"Intertidal"
"Genus","IT2",15001,231.667510795053,"Intertidal"
"Genus","IT2",16001,235.140793961342,"Intertidal"
"Genus","IT2",17001,238.347911086708,"Intertidal"
"Genus","IT2",18001,241.313765208192,"Intertidal"
"Genus","IT2",19001,244.059442641794,"Intertidal"
"Genus","IT2",20001,246.603008349713,"Intertidal"
"Genus","IT2",21001,248.960105831399,"Intertidal"
"Genus","IT2",22001,251.144413442743,"Intertidal"
"Genus","IT2",23001,253.167994051179,"Intertidal"
"Genus","IT2",24001,255.041564656768,"Intertidal"
"Genus","IT2",25001,256.774705429477,"Intertidal"
"Genus","IT2",26001,258.376022507143,"Intertidal"
"Genus","IT2",27001,259.853275216442,"Intertidal"
"Genus","IT2",28001,261.213475684602,"Intertidal"
"Genus","IT2",29001,262.462966810979,"Intertidal"
"Genus","IT2",30001,263.607483064541,"Intertidal"
